,Слова,Важность,Компетенция,Чистые слова
18,специалист должен уметь   выполнять ремонт оправ и очков;    применять соответствующие инструмент приспособления и расходные материалы при ремонте оправ и очков;    производить замену отдельных деталей оправ и очков;    производить замену очковых линз в оправах,47.5,Медицинская оптика,специалист выполнять ремонт оправ очков; применять соответствующие инструмент приспособления расходные материалы ремонте оправ очков; производить замену отдельных деталей оправ очков; производить замену очковых линз оправах
19,обработка результатов измерения,30%,Метрология,обработка результатов измерения
20,специалист должен знать и понимать   законодательство  российской  федерации  регламентирующее вопросы единства измерений и метрологического обеспечения   нормативные  и  методические  документы  регламентирующие вопросы выбора методов и средств измерений   нормативные  и  методические  документы  регламентирующие работы по метрологическому обеспечению в организации,30%,Метрология,специалист законодательство российской федерации регламентирующее вопросы единства измерений метрологического обеспечения нормативные методические документы регламентирующие вопросы выбора методов средств измерений нормативные методические документы регламентирующие работы метрологическому обеспечению организации
21,специалист должен уметь   выполнять обработку результатов измерений   выполнять  расчет  и  определение  допускаемой  погрешности неопределенности измерений   получать  интерпретировать  и  анализировать  результаты измерений,30%,Метрология,специалист выполнять обработку результатов измерений выполнять расчет определение допускаемой погрешности неопределенности измерений получать интерпретировать анализировать результаты измерений
22,оформление  и  ведение  производственно-технической,30%,Метрология,оформление ведение производственно-технической
23,документации,30%,Метрология,документации
24,специалист должен знать и понимать   законодательство  российской  федерации  регламентирующее работы по метрологическому обеспечению в организации,30%,Метрология,специалист законодательство российской федерации регламентирующее работы метрологическому обеспечению организации
25,специалист должен уметь   подготавливать и поддерживать безопасную аккуратную и эффективную зону проведения работ;   подготавливать себя к поставленным задачам уделяя должное внимание технике безопасности и нормам охраны труда;   планировать работу для максимизации эффективности и минимизации срывов графика;   учитывать правила и нормативные положения действующие для техников и инженеров в области робототехники;   выбирать и безопасно использовать все оборудование и материалы в соответствии с инструкциями изготовителя;   соблюдать или превышать стандарты техники безопасности и охраны труда применяемые в отношении окружающей среды оборудования и материалов;   восстанавливать зону проведения работ до соответствующего состояния;   содействовать работе команды в широком смысле и в конкретных случаях;   осуществлять и получать обратную связь и оказывать и получать поддержку,30%,Мобильная робототехника,специалист  подготавливать поддерживать безопасную аккуратную эффективную зону проведения работ;  подготавливать поставленным задачам уделяя должное внимание технике безопасности нормам охраны труда;  планировать работу максимизации эффективности минимизации срывов графика;  учитывать правила нормативные положения действующие техников инженеров области робототехники;  выбирать безопасно использовать оборудование материалы соответствии инструкциями изготовителя;  соблюдать превышать стандарты техники безопасности охраны труда применяемые отношении окружающей среды оборудования материалов;  восстанавливать зону проведения работ соответствующего состояния;  содействовать работе команды широком смысле конкретных случаях;  осуществлять получать обратную связь оказывать получать поддержку
26,компетенции общения и межличностных отношений,11,Мобильная робототехника,компетенции общения межличностных отношений
27,проектирование,7,Мобильная робототехника,проектирование
28,специалист должен знать и понимать   принципы и способы применения проектной разработки;   характер и формат технических условий проекта;,7,Мобильная робототехника,специалист  принципы способы применения проектной разработки;  характер формат технических условий проекта;
29,специалист должен знать и понимать   основные принципы механического электрического и электронного технического проектирования;   принципы изготовления и сборки;   принципы и практику безопасного изготовления и функционирования,7,Мобильная робототехника,специалист  основные принципы механического электрического электронного технического проектирования;  принципы изготовления сборки;  принципы практику безопасного изготовления функционирования
30,специалист должен уметь   изготавливать детали корпуса мобильного робота;   интегрировать структурные и механические части мобильного робота;   интегрировать электронные схемы управления;   устанавливать настраивать и производить все необходимые физические и программные регулировки требуемые для эффективного использования;   устанавливать настраивать и производить все необходимые регулировки в механических электрических и сенсорных системах;   устанавливать настраивать и производить все регулировки требуемые для эффективной работы мобильного робота в режиме супервизорного управления;   интегрировать датчики для осуществления контроля над требуемыми задачами,7,Мобильная робототехника,специалист  изготавливать детали корпуса мобильного робота;  интегрировать структурные механические части мобильного робота;  интегрировать электронные схемы управления;  устанавливать настраивать производить необходимые физические программные регулировки требуемые эффективного использования;  устанавливать настраивать производить необходимые регулировки механических электрических сенсорных системах;  устанавливать настраивать производить регулировки требуемые эффективной работы мобильного робота режиме супервизорного управления;  интегрировать датчики осуществления контроля требуемыми задачами
31,программирование тестирование и регулировка,20,Мобильная робототехника,программирование тестирование регулировка
32,специалист должен знать и понимать,20,Мобильная робототехника,специалист
33,специалист должен знать и понимать   критерии и методы тестирования оборудования и систем;   критерии и методы эксплуатационных тестовых прогонов;   область действия и пределы используемых технологий и методов;   стратегия творческого мышления и создание инноваций;   возможности и варианты осуществления поэтапных и или радикальных изменений ,20,Мобильная робототехника,специалист  критерии методы тестирования оборудования систем;  критерии методы эксплуатационных тестовых прогонов;  область действия пределы используемых технологий методов;  стратегия творческого мышления создание инноваций;  возможности варианты осуществления поэтапных радикальных изменений
34,специалист должен уметь   тестировать каждую часть мобильного робота по каждому согласованному критерию надежной работы;   тестировать общие эксплуатационные характеристики мобильного робота по каждому согласованному критерию надежной работы;   оптимизировать функционирование каждой части системы и системы в целом путем анализа решения проблем и усовершенствования;   проводить окончательный тестовый прогон перед вводом системы в эксплуатацию;   анализировать каждую часть процесса проектирования изготовления сборки и эксплуатации по установленным критериям включая точность стабильность временную и экономическую эффективность;   убеждаться что все аспекты стадии проектирования удовлетворяют требуемым отраслевым стандартам;   оформлять и представлять портфель клиенту; портфель должен включать всю значимую документацию требуемую для конкретной бизнес-транзакции;   проводить презентацию мобильного робота и портфеля клиенту отвечать на вопросы клиента,20,Мобильная робототехника,специалист  тестировать каждую мобильного робота каждому согласованному критерию надежной работы;  тестировать общие эксплуатационные характеристики мобильного робота каждому согласованному критерию надежной работы;  оптимизировать функционирование каждой части системы системы целом путем анализа решения проблем усовершенствования;  проводить окончательный тестовый прогон вводом системы эксплуатацию;  анализировать каждую процесса проектирования изготовления сборки эксплуатации установленным критериям включая точность стабильность временную экономическую эффективность;  убеждаться аспекты стадии проектирования удовлетворяют требуемым отраслевым стандартам;  оформлять представлять портфель клиенту; портфель включать значимую документацию требуемую конкретной бизнес-транзакции;  проводить презентацию мобильного робота портфеля клиенту отвечать вопросы клиента
35,менеджмент и организация работы,10,Обработка листового металла,менеджмент организация работы
36,специалист должен знать и понимать действующие правила по технике безопасности и рекомендации по охране труда используемые в  современных промышленных отраслях  - уметь организовывать  и обустраивать свое рабочее место  - правильно производить  утилизации отрезков стружки использованных чистящих средств и  чистящих материалов; - преобразование общих стандартных и метрических измерений между элементами / частями - использовать простые  математические  формулы  для вычисления дополнительных измерений  уметь проводить проверку точности и оценки количества изделий и материалла - значимость и актуальность проверочных измерений - наиболее подходящие способы организации работы при создании образцов фигур/моделей чтобы можно было максимально грамотно без потерь использовать материалы общие характеристики такие как ковкость пластичность и стойкость включают в себя - низкоуглеродистые стали - алюминий и алюминиевые сплавы - олово / латунь / медь - оцинкованный и анодированный лист - нержавеющая сталь - точно переносить измерения и контуры на листовой металл и соответствующие разделы - аккуратно использовать ручное и цифровое измерительное оборудование - эффективно использовать материал и уменьшить количество лома/отходов - вырезать формовать и использовать материал из листового металла для дальнейшего использования таких свойств как эластичность ковкость и вязкость  - использовать математические формулы для расчета допусков количества расходуемого материала и завершения размеров - работать в заданных временных промежутках,10,Обработка листового металла,специалист действующие правила технике безопасности рекомендации охране труда используемые современных промышленных отраслях - организовывать обустраивать рабочее - правильно производить утилизации отрезков стружки использованных чистящих средств чистящих материалов; - преобразование общих стандартных метрических измерений элементами / частями - использовать простые математические формулы вычисления дополнительных измерений проводить проверку точности оценки количества изделий материалла - значимость актуальность проверочных измерений - подходящие способы организации работы создании образцов фигур/моделей максимально грамотно потерь использовать материалы общие характеристики ковкость пластичность стойкость включают - низкоуглеродистые стали - алюминий алюминиевые сплавы - олово / латунь / медь - оцинкованный анодированный лист - нержавеющая сталь - точно переносить измерения контуры листовой металл соответствующие разделы - аккуратно использовать ручное цифровое измерительное оборудование - эффективно использовать материал уменьшить количество лома/отходов - вырезать формовать использовать материал листового металла дальнейшего использования таких свойств эластичность ковкость вязкость - использовать математические формулы расчета допусков количества расходуемого материала завершения размеров - заданных временных промежутках
37,разработка шаблонов,10,Обработка листового металла,разработка шаблонов
38,специалист должен знать и понимать - как интерпретировать чертежи при европейском способе проецирования американском способе проецирования где горизонтальная проекция выше фронтальной и ортогональной проекции ортографической - методы и принципы разработки моделей/шаблонов для параллельных линий радиальных линий  - принципы и методы разработки шаблонов с использованием acad для параллельных линии радиальных линии и триангуляции - как проверить шаблоны и методы переноса на листовой металл,10,Обработка листового металла,специалист - интерпретировать чертежи европейском способе проецирования американском способе проецирования горизонтальная проекция выше фронтальной ортогональной проекции ортографической - методы принципы разработки моделей/шаблонов параллельных линий радиальных линий - принципы методы разработки шаблонов использованием acad параллельных линии радиальных линии триангуляции - проверить шаблоны методы переноса листовой металл
39,специалист должен уметь - точно передавать информацию и размеры с  чертежа и переносить их на листовой металл,10,Обработка листового металла,специалист - точно передавать информацию размеры чертежа переносить листовой металл
40,специалист должен знать и понимать  - расчеты припуска на изгиб и  допуски на отступ - выбор уход и обслуживание ручных инструментов используемых для резки и формовки материалов - выбор уход и настройка машин ручного управления служащих для  формовки - принципы выбора и программирования при использовании станков с чпу для обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки и формовки - эксплуатация и настройка  станков механического пиления - выбор уход и обслуживание используемых режущих инструментов для  вырезания узоров/шаблонов - выбор методов ручной резки доступных для резки шаблона - работа и настройка машин используемых для резки и формовки листового металла - регулировка и эксплуатация  оборудования механического пиления,10,Обработка листового металла,специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки формовки - эксплуатация настройка станков механического пиления - выбор уход обслуживание используемых режущих инструментов вырезания узоров/шаблонов - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла - регулировка эксплуатация оборудования механического пиления
41,специалист должен уметь - расчеты припуска на изгиб и  допуски на отступ - выбор уход и обслуживание ручных инструментов используемых для резки и формовки материалов - выбор уход и настройка машин ручного управления служащих для  формовки - принципы выбора и программирования при использовании станков с чпу для обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания  и формовки - эксплуатация и настройка  станков механического пиления - выбор уход и обслуживание используемых режущих инструментов для  вырезания узоров/шаблонов - выбор методов ручной резки доступных для резки шаблона - работа и настройка машин используемых для резки и формовки листового металла,10,Обработка листового металла,специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания формовки - эксплуатация настройка станков механического пиления - выбор уход обслуживание используемых режущих инструментов вырезания узоров/шаблонов - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла
42,специалист должен знать и понимать - расчеты припуска на изгиб и  допуски на отступ - выбор уход и обслуживание ручных инструментов используемых для резки и формовки материалов - выбор уход и настройка машин ручного управления служащих для  формовки - принципы выбора и программирования при использовании станков с чпу для обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки и формовки - эксплуатация и настройка  станков механического пиления - выбор методов ручной резки доступных для резки шаблона - работа и настройка машин используемых для резки и формовки листового металла - регулировка и эксплуатация  оборудования механического пиления,10,Обработка листового металла,специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки формовки - эксплуатация настройка станков механического пиления - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла - регулировка эксплуатация оборудования механического пиления
